House_election
geo_id,name,democratic_party_winning_probability,republicans_party_winning_probability,democratic_party_vote_share,republicans_party_vote_share,status,result_type, solid_republic,solid_democratic,likely_republic,likely_democratic,lean_republic,lean_democratic
AK-01, ,34.32,47.60000000000000,46.3869,25.50441, Democrats, Forecast,197,165,17,26,5,14
AL-01,Alabama 1st,99.9875,0.0,0.0,84.43538, Republicans, Forecast,,,,,,
AL-02,Alabama 2nd,99.91,0.09,31.3843,65.75611, Republicans, Forecast,,,,,,
AL-03,Alabama 3rd,99.9525,0.0475,29.18924,67.54262, Republicans, Forecast,,,,,,
AL-04,Alabama 4th,99.99750000000000,0.0025,20.60475,76.24441, Republicans, Forecast,,,,,,
AL-05,Alabama 5th,99.13250000000000,0.8675,35.84911,60.81945, Republicans, Forecast,,,,,,
AL-06,Alabama 6th,99.995,0.0,0.0,85.20999, Republicans, Forecast,,,,,,
AL-07,Alabama 7th,0.09,99.91,65.99505,31.18756, Democrats, Forecast,,,,,,
AR-01,Arkansas 1st,99.945,0.055,29.46073,70.53928, Republicans, Forecast,,,,,,
AR-02,Arkansas 2nd,98.5575,1.44,37.07504,59.51561, Republicans, Forecast,,,,,,
AR-03,Arkansas 3rd,99.74,0.2575,32.30042,64.16771, Republicans, Forecast,,,,,,
AR-04,Arkansas 4th,99.91,0.08750000000000000,29.14094,67.21672, Republicans, Forecast,,,,,,
AZ-01,Arizona 1st,82.5625,17.4375,46.16027,53.83973, Republicans, Forecast,,,,,,
AZ-02,Arizona 2nd,47.38750000000000,52.6125,50.24841,49.75159, Democrats, Forecast,,,,,,
AZ-03,Arizona 3rd,0.0475,99.9525,71.56504,28.43496, Democrats, Forecast,,,,,,
AZ-04,Arizona 4th,24.595,75.405,52.71959,47.28041, Democrats, Forecast,,,,,,
AZ-05,Arizona 5th,99.7275,0.2725,32.58926,64.18763, Republicans, Forecast,,,,,,
AZ-06,Arizona 6th,68.06,31.94,48.2506,51.7494, Republicans, Forecast,,,,,,
AZ-07,Arizona 7th,0.52,99.48,64.95675,35.04325, Democrats, Forecast,,,,,,
AZ-08,Arizona 8th,100.0,0.0,0.0,100.0, Republicans, Forecast,,,,,,
AZ-09,Arizona 9th,100.0,0.0,0.0,100.0, Republicans, Forecast,,,,,,
CA-10,California 10th,0.0,99.955,75.66496,0.0, Democrats, Forecast,,,,,,
CA-11,California 11th,0.0,100.0,80.87249,0.0, Democrats, Forecast,,,,,,
CA-01,California 1st,99.515,0.485,35.36183,64.63817, Republicans, Forecast,,,,,,
CA-12,California 12th,0.0,100.0,82.39064,0.0, Democrats, Forecast,,,,,,
CA-13,California 13th,35.365,64.63500000000000,51.60505,48.39495, Democrats, Forecast,,,,,,
CA-14,California 14th,0.0675,99.9325,70.53323,29.46676, Democrats, Forecast,,,,,,
CA-15,California 15th,0.0,92.8175,58.32191,0.0, Democrats, Forecast,,,,,,
CA-16,California 16th,0.0,99.9825,67.59921,0.0, Democrats, Forecast,,,,,,
CA-17,California 17th,0.1075,99.8925,72.25296,27.74704, Democrats, Forecast,,,,,,
CA-18,California 18th,0.1175,99.8825,70.22808,29.77192, Democrats, Forecast,,,,,,
CA-19,California 19th,0.1075,99.8925,68.21657,31.78343, Democrats, Forecast,,,,,,
CA-20,California 20th,99.8925,0.1075,32.15224,67.84776, Republicans, Forecast,,,,,,
CA-21,California 21st,22.6425,77.3575,53.2741,46.7259, Democrats, Forecast,,,,,,
CA-02,California 2nd,0.02,99.98,72.12591,27.87409, Democrats, Forecast,,,,,,
CA-22,California 22nd,39.7125,60.28750000000000,51.10569,48.89431, Democrats, Forecast,,,,,,
CA-23,California 23rd,98.66750000000000,1.3325,38.18594,61.81406, Republicans, Forecast,,,,,,
CA-24,California 24th,0.6825,99.31750000000000,63.45631,36.54369, Democrats, Forecast,,,,,,
CA-25,California 25th,4.3275,95.6725,59.00166,40.99834, Democrats, Forecast,,,,,,
CA-26,California 26th,12.97,87.03,54.6714,45.3286, Democrats, Forecast,,,,,,
CA-27,California 27th,56.225,43.775,49.38103,50.61897, Republicans, Forecast,,,,,,
CA-28,California 28th,0.3075,99.6925,66.3158,33.6842, Democrats, Forecast,,,,,,
CA-29,California 29th,0.0,99.765,64.32703,0.0, Democrats, Forecast,,,,,,
CA-30,California 30th,0.0,100.0,75.00375,0.0, Democrats, Forecast,,,,,,
CA-31,California 31st,0.5175,99.4825,65.53496,34.46505, Democrats, Forecast,,,,,,
CA-03,California 3rd,79.305,20.695,46.04748,53.95252, Republicans, Forecast,,,,,,
CA-32,California 32nd,0.08750000000000000,99.91250000000000,69.27523,30.72477, Democrats, Forecast,,,,,,
CA-33,California 33rd,1.515,98.485,63.10499,36.89501, Democrats, Forecast,,,,,,
CA-34,California 34th,0.0,79.52750000000000,54.94318,0.0, Democrats, Forecast,,,,,,
CA-35,California 35th,0.605,99.395,64.62527,35.37473, Democrats, Forecast,,,,,,
CA-36,California 36th,0.0475,99.9525,70.17883,29.82117, Democrats, Forecast,,,,,,
CA-37,California 37th,0.0,99.4225,63.28511,0.0, Democrats, Forecast,,,,,,
CA-38,California 38th,0.5125000000000000,99.4875,65.1689,34.8311, Democrats, Forecast,,,,,,
CA-39,California 39th,1.335,98.665,63.31423,36.68577, Democrats, Forecast,,,,,,
CA-40,California 40th,91.045,8.955,44.50272,55.49728, Republicans, Forecast,,,,,,
CA-41,California 41st,92.015,7.985,44.76043,55.23957, Republicans, Forecast,,,,,,
CA-04,California 4th,0.16,99.84000000000000,66.46941,33.53059, Democrats, Forecast,,,,,,
CA-42,California 42nd,0.305,99.695,67.07244,32.92756, Democrats, Forecast,,,,,,
CA-43,California 43rd,0.0,100.0,78.11978,0.0, Democrats, Forecast,,,,,,
CA-44,California 44th,0.0375,99.9625,72.56083,27.43917, Democrats, Forecast,,,,,,
CA-45,California 45th,80.4375,19.5625,45.58003,54.41997, Republicans, Forecast,,,,,,
CA-46,California 46th,0.395,99.605,65.99995,34.00005, Democrats, Forecast,,,,,,
CA-47,California 47th,11.7875,88.2125,56.20922,43.79078, Democrats, Forecast,,,,,,
CA-48,California 48th,99.30250000000000,0.6975,36.21127,63.78873, Republicans, Forecast,,,,,,
CA-49,California 49th,11.8725,88.1275,55.79745,44.20255, Democrats, Forecast,,,,,,
CA-50,California 50th,0.3825,99.6175,65.03306,34.96694, Democrats, Forecast,,,,,,
CA-51,California 51st,0.8775,99.1225,62.80541,37.19459, Democrats, Forecast,,,,,,
CA-05,California 5th,98.7975,1.2025,37.64233,62.35767, Republicans, Forecast,,,,,,
CA-52,California 52nd,0.1225,99.8775,68.43866,31.56134, Democrats, Forecast,,,,,,
CA-06,California 6th,3.6775,96.3225,59.25766,40.74234, Democrats, Forecast,,,,,,
CA-07,California 7th,0.125,99.875,67.20778,32.79222, Democrats, Forecast,,,,,,
CA-08,California 8th,0.02,99.98,73.3846,26.6154, Democrats, Forecast,,,,,,
CA-09,California 9th,31.47250000000000,68.5275,52.14669,47.85331, Democrats, Forecast,,,,,,
CO-01,Colorado 1st,0.0075,99.99250000000000,73.32549,22.65122, Democrats, Forecast,,,,,,
CO-02,Colorado 2nd,0.135,99.86500000000000,65.25924,30.10878, Democrats, Forecast,,,,,,
CO-03,Colorado 3rd,82.1025,17.8975,46.30479,53.69521, Republicans, Forecast,,,,,,
CO-04,Colorado 4th,99.6175,0.3825,33.38087,62.93639, Republicans, Forecast,,,,,,
CO-05,Colorado 5th,99.2575,0.7425,34.7191,61.25217, Republicans, Forecast,,,,,,
CO-06,Colorado 6th,2.4775,97.52250000000000,58.69924,37.71173, Democrats, Forecast,,,,,,
CO-07,Colorado 7th,32.2275,67.77,49.40656,46.03991, Democrats, Forecast,,,,,,
CO-08,Colorado 8th,73.2525,26.7425,45.67294,50.56371, Republicans, Forecast,,,,,,
CT-01,Connecticut 1st,1.172500000000000,98.8275,60.95883,36.17637, Democrats, Forecast,,,,,,
CT-02,Connecticut 2nd,2.32,97.68,56.68226,40.11458, Democrats, Forecast,,,,,,
CT-03,Connecticut 3rd,4.5025,95.4975,57.29922,39.56586, Democrats, Forecast,,,,,,
CT-04,Connecticut 4th,2.3425,97.6575,58.09467,41.90533, Democrats, Forecast,,,,,,
CT-05,Connecticut 5th,41.57,58.43000000000000,50.65121,49.34879, Democrats, Forecast,,,,,,
DE-01, ,3.85,96.15,54.91303,41.84382, Democrats, Forecast,,,,,,
FL-10,Florida 10th,1.765,98.235,59.60415,36.77299, Democrats, Forecast,,,,,,
FL-11,Florida 11th,99.0375,0.9625,36.03503,61.28807, Republicans, Forecast,,,,,,
FL-01,Florida 1st,96.1225,3.877500000000000,41.79421,58.20579, Republicans, Forecast,,,,,,
FL-12,Florida 12th,99.83,0.1700000000000000,32.47062,67.52938, Republicans, Forecast,,,,,,
FL-13,Florida 13th,81.87,18.13,45.0993,52.00335, Republicans, Forecast,,,,,,
FL-14,Florida 14th,3.445,96.555,59.59681,40.40319, Democrats, Forecast,,,,,,
FL-15,Florida 15th,80.4725,19.5275,46.83806,53.16194, Republicans, Forecast,,,,,,
FL-16,Florida 16th,97.7725,2.2275,39.48126,60.51874, Republicans, Forecast,,,,,,
FL-17,Florida 17th,99.045,0.955,35.39172,61.90556, Republicans, Forecast,,,,,,
FL-18,Florida 18th,99.995,0.0,0.0,83.983, Republicans, Forecast,,,,,,
FL-19,Florida 19th,99.6275,0.3725,35.03251,64.96749, Republicans, Forecast,,,,,,
FL-20,Florida 20th,0.01,99.99,73.65158,26.34842, Democrats, Forecast,,,,,,
FL-21,Florida 21st,97.8875,2.1125,39.45683,60.54317, Republicans, Forecast,,,,,,
FL-02,Florida 2nd,85.0425,14.9575,46.28825,53.71175, Republicans, Forecast,,,,,,
FL-22,Florida 22nd,3.11,96.89,59.8953,40.1047, Democrats, Forecast,,,,,,
FL-23,Florida 23rd,28.365,71.635,51.15217,45.43877, Democrats, Forecast,,,,,,
FL-24,Florida 24th,0.0075,99.99250000000000,74.3829,25.61711, Democrats, Forecast,,,,,,
FL-25,Florida 25th,1.735,98.265,61.30164,38.69836, Democrats, Forecast,,,,,,
FL-26,Florida 26th,97.195,2.805000000000000,39.04552,60.95448, Republicans, Forecast,,,,,,
FL-27,Florida 27th,69.185,30.81500000000000,47.86517,52.13483, Republicans, Forecast,,,,,,
FL-28,Florida 28th,90.705,9.295,44.09957,55.90043, Republicans, Forecast,,,,,,
FL-03,Florida 3rd,98.7025,1.2975,37.07446,60.25851, Republicans, Forecast,,,,,,
FL-04,Florida 4th,90.61750000000000,9.3825,43.57568,56.42432, Republicans, Forecast,,,,,,
FL-05,Florida 5th,100.0,0.0,0.0,100.0, Republicans, Forecast,,,,,,
FL-06,Florida 6th,99.99,0.0,0.0,83.69354, Republicans, Forecast,,,,,,
FL-07,Florida 7th,89.71000000000000,10.29,43.65195,56.34805, Republicans, Forecast,,,,,,
FL-08,Florida 8th,99.3225,0.6775,36.36493,63.63507, Republicans, Forecast,,,,,,
FL-09,Florida 9th,2.165,97.83500000000000,60.51255,39.48745, Democrats, Forecast,,,,,,
GA-10,Georgia 10th,98.9925,1.0075,37.81205,62.18795, Republicans, Forecast,,,,,,
GA-11,Georgia 11th,99.7675,0.2325000000000000,35.18372,64.81628, Republicans, Forecast,,,,,,
GA-01,Georgia 1st,99.0625,0.9375,37.89675,62.10325, Republicans, Forecast,,,,,,
GA-12,Georgia 12th,98.3075,1.6925,39.01875,60.98125, Republicans, Forecast,,,,,,
GA-13,Georgia 13th,0.0,100.0,75.104,0.0, Democrats, Forecast,,,,,,
GA-14,Georgia 14th,99.97750000000000,0.0225,28.45689,71.54311, Republicans, Forecast,,,,,,
GA-02,Georgia 2nd,18.8725,81.1275,52.87315,47.12685, Democrats, Forecast,,,,,,
GA-03,Georgia 3rd,99.9375,0.0625,31.11863,68.88137, Republicans, Forecast,,,,,,
GA-04,Georgia 4th,0.0075,99.99250000000000,74.10798,25.89202, Democrats, Forecast,,,,,,
GA-05,Georgia 5th,0.0025,99.99750000000000,77.52475,22.47525, Democrats, Forecast,,,,,,
GA-06,Georgia 6th,97.5425,2.4575,39.70264,60.29736, Republicans, Forecast,,,,,,
GA-07,Georgia 7th,2.1725,97.8275,60.64057,39.35943, Democrats, Forecast,,,,,,
GA-08,Georgia 8th,99.905,0.095,32.38344,67.61656, Republicans, Forecast,,,,,,
GA-09,Georgia 9th,99.985,0.015,28.05208,71.94791, Republicans, Forecast,,,,,,
HI-01,Hawaii 1st,0.4125,99.58750000000000,67.0455,32.9545, Democrats, Forecast,,,,,,
HI-02,Hawaii 2nd,1.765,98.235,61.14109,34.91716, Democrats, Forecast,,,,,,
IA-01,Iowa 1st,78.0625,21.9375,46.96421,53.03579, Republicans, Forecast,,,,,,
IA-02,Iowa 2nd,78.66250000000000,21.3375,46.82123,53.17877, Republicans, Forecast,,,,,,
IA-03,Iowa 3rd,58.76,41.24,49.19758,50.80242, Republicans, Forecast,,,,,,
IA-04,Iowa 4th,99.67,0.33,33.43894,63.26287, Republicans, Forecast,,,,,,
ID-01,Idaho 1st,99.97500000000000,0.02,25.7591,69.55236, Republicans, Forecast,,,,,,
ID-02,Idaho 2nd,99.7125,0.2875,34.74648,65.25352, Republicans, Forecast,,,,,,
IL-10,Illinois 10th,6.1375,93.86250000000000,56.24869,43.75131, Democrats, Forecast,,,,,,
