name,geo_id,democratic_candidate_name,republic_candidate_name,democratic_party_winning_probability,republicans_party_winning_probability,democratic_party_vote_share,republicans_party_vote_share
Arizona,AZ,Ruben Gallego,Kari Lake,44.0,39.0,44.0,39.0
California,CA,Adam B. Schiff,Steve Garvey,66.3,33.7,66.3,33.7
Florida,FL,Debbie Mucarsel-Powell,Rick Scott,43.0,47.0,43.0,47.0
Indiana,IN,Valerie Lin McCray,Jim Banks,21.5,31.3,21.5,31.3
Maine,ME,David Costello,Demitroula Kouzounas,9.0,33.0,9.0,33.0
Maryland,MD,Angela D. Alsobrooks,Larry Hogan,45.0,34.0,45.0,34.0
Massachusetts,MA,Elizabeth Warren,Robert Antonellis,50.0,23.0,50.0,23.0
Michigan,MI,Elissa Slotkin,Mike Rogers,48.0,38.0,48.0,38.0
Minnesota,MN,Amy Klobuchar,Joe Fraser,54.0,33.0,54.0,33.0
Missouri,MO,Lucas Kunce,Josh Hawley,37.6,46.8,37.6,46.8
Montana,MT,Jon Tester,Tim Sheehy,49.0,44.0,49.0,44.0
Nebraska,NE,,Deb Fischer,,43.0,,43.0
Nevada,NV,Jacky Rosen,Sam Brown,48.0,37.0,48.0,37.0
New Jersey,NJ,Andy Kim,Curtis Bashaw,39.0,33.0,39.0,33.0
New Mexico,NM,Martin Heinrich,Nella Louise Domenici,49.2,37.3,49.2,37.3
New York,NY,Kirsten E. Gillibrand,Michael D Sapraicone,63.2,36.8,63.2,36.8
North Dakota,ND,Katrina Christiansen,Kevin Cramer,38.0,51.0,38.0,51.0
Ohio,OH,Sherrod Brown,Bernie Moreno,52.5,47.5,52.5,47.5
Pennsylvania,PA,Robert P. Casey Jr.,David McCormick,46.2,42.0,46.2,42.0
Tennessee,TN,Gloria Johnson,Marsha Blackburn,32.0,49.0,32.0,49.0
Texas,TX,Colin Allred,Ted Cruz,44.5,46.6,44.5,46.6
Vermont,VT,,Gerald Malloy,,25.0,,25.0
Virginia,VA,Tim Kaine,Hung Cao,49.0,38.0,49.0,38.0
Washington,WA,Maria Cantwell,Raul Garcia,39.0,30.0,39.0,30.0
West Virginia,WV,Glenn F. Elliott,James Justice,27.0,60.0,27.0,60.0
Wisconsin,WI,Tammy Baldwin,Eric D. Hovde,50.0,42.0,50.0,42.0
