geo_id,name,democratic_party_winning_probability,republicans_party_winning_probability,democratic_party_vote_share,republicans_party_vote_share,status,result_type,votes_counted,republic_candidate_name,democratic_candidate_name

  AK-AL, ألاسكا At-Large, 34.6125, 47.0625,46.3, 25.5, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, سارة بالين, ماري س. بيلتولا
  AL-01, ألاباما 1, 99.99249999999999, 0.0,0.0, 84.4, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جيري كارل, حزب ديمقراطي
  AL-02, ألاباما 2, 99.89, 0.11,30.4, 66.8, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, باري مور, فيليس هارفي هول
  AL-03, ألاباما 3, 99.9675, 0.0325,28.0, 68.7, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, مايك روجرز, لين فيسي
  AL-04, ألاباما 4, 100.0, 0.0,0.0, 78.0, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, روبرت أديرهولت, حزب ديمقراطي
  AL-05, ألاباما 5, 99.41499999999999, 0.5775,34.8, 61.8, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, دايل سترونج, كاثي وارنر ستانتون
  AL-06, ألاباما 6, 99.99, 0.0,0.0, 85.2, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, غاري بالمر, حزب ديمقراطي
  AL-07, ألاباما 7, 0.0925, 99.9075,66.6, 30.5, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, بياتريس نيكولز, تيريسينا سيويل
  AR-01, أركنساس 1, 99.97500000000001, 0.025,28.2, 71.8, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ريك كروفورد, مونتي هودجز
  AR-02, أركنساس 2, 98.8375, 1.1625,36.5, 60.1, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, التل الفرنسي, كوينتيسا هاثاواي
  AR-03, أركنساس 3, 99.87, 0.13,31.3, 65.1, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ستيف وماك, لورين ماليت هايز
  AR-04, 4 أركنساس, 99.9425, 0.05749999999999999,28.0, 68.3, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, بروس ويسترمان, جون وايت
  AZ-01, أريزونا 1, 83.9875, 16.0125,45.9, 54.1, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ديفيد شويكرت, جيفين هودج
  AZ-02, أريزونا الثانية, 50.2525, 49.7475,49.9, 50.1, غير مؤكد, تنبؤ بالمناخ, 100.0, ايلي كرين, توم اوهاليران
  AZ-03, أريزونا الثالثة, 0.0275, 99.9725,72.3, 27.7, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, جيف زينك, روبن جاليجو
  AZ-04, أريزونا الرابعة, 26.8575, 73.1425,52.5, 47.5, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, كيلي كوبر, جريج ستانتون
