geo_id,name,democratic_party_winning_probability,republicans_party_winning_probability,democratic_party_vote_share,republicans_party_vote_share,status,result_type,votes_counted,republic_candidate_name,democratic_candidate_name

  AK-AL, ألاسكا At-Large, 34.5, 47.3175,46.3, 25.5, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, سارة بالين, ماري س. بيلتولا
  AL-01, ألاباما 1, 99.985, 0.0,0.0, 84.5, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جيري كارل, حزب ديمقراطي
  AL-02, ألاباما 2, 99.9325, 0.0675,30.0, 67.2, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, باري مور, فيليس هارفي هول
  AL-03, ألاباما 3, 99.9825, 0.01749999999999999,27.5, 69.2, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, مايك روجرز, لين فيسي
  AL-04, ألاباما 4, 100.0, 0.0,0.0, 78.9, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, روبرت أديرهولت, حزب ديمقراطي
  AL-05, ألاباما 5, 99.51, 0.49,34.3, 62.3, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, دايل سترونج, كاثي وارنر ستانتون
  AL-06, ألاباما 6, 99.995, 0.0,0.0, 85.2, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, غاري بالمر, حزب ديمقراطي
  AL-07, ألاباما 7, 0.06, 99.94,66.9, 30.3, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, بياتريس نيكولز, تيريسينا سيويل
  AR-01, أركنساس 1, 99.9725, 0.0275,27.6, 72.4, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ريك كروفورد, مونتي هودجز
  AR-02, أركنساس 2, 98.785, 1.214999999999999,36.5, 60.1, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, التل الفرنسي, كوينتيسا هاثاواي
  AR-03, أركنساس 3, 99.8775, 0.1225,31.1, 65.4, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ستيف وماك, لورين ماليت هايز
  AR-04, 4 أركنساس, 99.9625, 0.0375,27.5, 68.9, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, بروس ويسترمان, جون وايت
  AZ-01, أريزونا 1, 83.86, 16.14,46.0, 54.0, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ديفيد شويكرت, جيفين هودج
  AZ-02, أريزونا الثانية, 52.5875, 47.4125,49.7, 50.3, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ايلي كرين, توم اوهاليران
  AZ-03, أريزونا الثالثة, 0.0325, 99.9675,72.9, 27.1, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, جيف زينك, روبن جاليجو
  AZ-04, أريزونا الرابعة, 26.29, 73.71,52.5, 47.5, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, كيلي كوبر, جريج ستانتون
  AZ-05, أريزونا الخامس, 99.8475, 0.1525,31.4, 65.4, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, آندي بيغز, خافيير راموس
  AZ-06, أريزونا 6, 70.03, 29.97,48.0, 52.0, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, خوان سيسكوماني, كيرستن إنجل
  AZ-07, أريزونا 7, 0.3899999999999999, 99.61,65.6, 34.4, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, لويس بوزولو, راؤول جريجالفا
  AZ-08, أريزونا 8, 100.0, 0.0,0.0, 100.0, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ديبي ليسكو, حزب ديمقراطي
  AZ-09, أريزونا 9, 100.0, 0.0,0.0, 100.0, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, بول جوسار, حزب ديمقراطي
  CA-10, كاليفورنيا العاشر, 0.0, 99.98,75.6, 0.0, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, الحزب الجمهوري, مارك ديسولنييه
  CA-11, كاليفورنيا 11, 0.0, 100.0,83.1, 0.0, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, الحزب الجمهوري, نانسي بيلوسي
  CA-01, كاليفورنيا 1, 99.7375, 0.2625,34.0, 66.0, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, دوغ لامالفا, ماكس شتاينر
  CA-12, كاليفورنيا 12, 0.0, 100.0,84.8, 0.0, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, الحزب الجمهوري, باربرا لي
  CA-13, كاليفورنيا 13, 34.78, 65.22,51.6, 48.4, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, جون دوارتي, آدم جراي
  CA-14, كاليفورنيا 14, 0.01749999999999999, 99.9825,71.8, 28.2, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, أليسون هايدن, إريك سوالويل
  CA-15, كاليفورنيا 15, 0.0, 92.685,58.3, 0.0, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, الحزب الجمهوري, كيفن مولين
  CA-16, كاليفورنيا 16, 0.0, 99.99,67.6, 0.0, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, الحزب الجمهوري, آنا جي إيشو
  CA-17, كاليفورنيا 17, 0.055, 99.945,73.6, 26.4, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, ريتيش تاندون, رو خانا
  CA-18, كاليفورنيا 18, 0.06, 99.94,71.5, 28.5, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, بيتر هيرنانديز, زوي لوفغرين
  CA-19, كاليفورنيا 19, 0.05, 99.95,69.1, 30.9, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, جيف جورمان, جيمي بانيتا
  CA-20, كاليفورنيا 20, 99.9525, 0.0475,30.6, 69.4, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, كيفن مكارثي, ماريسا وود
  CA-21, كاليفورنيا 21, 23.075, 76.925,53.2, 46.8, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, مايكل ماهر, جيم كوستا
  CA-02, كاليفورنيا 2, 0.015, 99.985,73.4, 26.6, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, دوغلاس بروير, جاريد هوفمان
  CA-22, كاليفورنيا 22, 39.2675, 60.7325,51.2, 48.8, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, ديفيد جي فالاداو, رودي سالاس
  CA-23, كاليفورنيا 23, 98.97749999999999, 1.0225,37.4, 62.6, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جاي أوبيرنولت, ديريك مارشال
