geo_id,name,democratic_party_winning_probability,republicans_party_winning_probability,democratic_party_vote_share,republicans_party_vote_share,status,result_type,votes_counted,republic_candidate_name,democratic_candidate_name

  AK, ألاسكا, 50.0575, 0.03,15.2, 40.7, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ليزا موركوفسكي, باتريشيا ر.تشسبرو
  AL, ألاباما, 99.91, 0.09,35.0, 62.4, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, كاتي بريت, ويل بويد
  AR, أركنساس, 99.18249999999999, 0.815,38.0, 58.4, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جون بوزمان, ناتالي جيمس
  AZ, أريزونا, 26.665, 73.335,50.6, 47.5, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, بليك ماسترز, مارك كيلي
  CA, كاليفورنيا, 0.27, 99.72999999999999,61.8, 38.2, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, مارك ب.ميزر, أليكس باديلا
  CO, كولورادو, 6.2725, 93.72749999999999,52.8, 43.9, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, جو أوديا, مايكل بينيت
  CT, كونيتيكت, 2.6525, 97.3475,56.1, 43.9, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, ليورا ر. ليفي, ريتشارد بلومنتال
  FL, فلوريدا, 90.9475, 9.0525,45.4, 52.6, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ماركو روبيو, فال ديمينجز
  GA, جورجيا, 42.0275, 57.9725,49.9, 48.5, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, هيرشل جونيور ووكر, رفائيل وارنوك
  HI, هاواي, 0.545, 99.455,64.5, 30.9, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, بوب مكديرموت, بريان شاتز
  IA, آيوا, 91.1125, 8.885,45.9, 54.1, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, تشاك جراسلي, مايكل فرانكن
  ID, ايداهو, 99.905, 0.095,26.7, 66.6, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, مايك كرابو, ديفيد روث
  IL, إلينوي, 1.4125, 98.58749999999999,55.5, 42.0, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, كاثي سالفي, تامي دكوورث
  IN, إنديانا, 82.3125, 17.685,44.5, 52.0, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, تود يونغ, توماس ماكديرموت
  KS, كانساس, 97.82499999999999, 2.1725,40.8, 55.7, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جيري موران, مارك ر هولاند
  KY, كنتاكي, 98.30499999999999, 1.695,40.8, 59.2, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, راند بول, تشارلز بوكر
  LA, لويزيانا, 92.77499999999999, 1.1825,10.9, 45.4, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جون كينيدي, لوك ميكسون
  MD, ماريلاند, 0.525, 99.47500000000001,60.4, 39.6, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, كريس شافي, كريس فان هولين
  MO, ميسوري, 96.16749999999999, 3.832499999999999,43.1, 54.2, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, اريك شميت, ترودي بوش فالنتين
  NC, شمال كارولينا, 69.975, 30.025,47.7, 50.3, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, تيد باد, شيري بيسلي
  ND, شمال داكوتا, 99.86500000000001, 0.1325,28.0, 67.3, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جون هوفين, كاترينا كريستيانسن
  NH, نيو هامبشاير, 27.905, 72.095,50.8, 47.5, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, دونالد سي بولدوك, ماجي حسن
  NV, نيفادا, 55.57499999999999, 44.425,48.4, 49.1, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, آدم بول لاكسالت, كاثرين كورتيز ماستو
  NY, نيويورك, 0.32, 99.68,57.1, 41.2, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, جو بينيون, تشارلز إي شومر
  OH, أوهايو, 65.78500000000001, 34.215,48.9, 51.1, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جي دي فانس, تيم رايان
  OK, أوكلاهوما, 99.505, 0.495,40.4, 57.0, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ماركواين مولين, كندرا هورن
  OK, أوكلاهوما, 99.95, 0.05,37.6, 59.6, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جيمس لانكفورد, ماديسون هورن
  OR, أوريغون, 1.2825, 98.7175,55.8, 40.5, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, جو راي بيركنز, رون وايدن
  PA, بنسلفانيا, 36.7725, 63.2275,49.7, 48.2, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, محمد عوز, جون فيترمان
  SC, كارولينا الجنوبية, 98.72, 1.28,40.4, 59.6, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, تيم سكوت, كريستل ماثيوز
  SD, جنوب داكوتا, 99.95, 0.0475,34.0, 62.5, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جون ر.ثون, بريان ل
  UT, يوتا, 89.59, 0.0,0.0, 50.4, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, مايك لي, حزب ديمقراطي
  VT, فيرمونت, 0.1825, 99.81750000000001,60.3, 34.4, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, جيرالد مالوي, بيتر ولش
  WA, واشنطن, 11.79999999999999, 88.2,53.4, 46.6, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, تيفاني سمايلي, باتي موراي
