geo_id,name,democratic_party_winning_probability,republicans_party_winning_probability,democratic_party_vote_share,republicans_party_vote_share,status,result_type,votes_counted,republic_candidate_name,democratic_candidate_name

  AK, ألاسكا, 50.375, 0.055,15.2, 40.5, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, كيلي سي تشيباكا, باتريشيا ر.تشسبرو
  AL, ألاباما, 99.91250000000001, 0.08750000000000001,35.0, 62.5, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, كاتي بريت, ويل بويد
  AR, أركنساس, 99.9375, 0.0625,35.4, 60.9, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, جون بوزمان, ناتالي جيمس
  AZ, أريزونا, 30.7675, 69.2325,50.3, 47.9, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, بليك ماسترز, مارك كيلي
  CA, كاليفورنيا, 0.2625, 99.7375,61.7, 38.3, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, مارك ب.ميزر, أليكس باديلا
  CO, كولورادو, 5.64, 94.36,52.8, 44.1, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, جو أوديا, مايكل بينيت
  CT, كونيتيكت, 1.4975, 98.5025,56.9, 43.1, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, ليورا ر. ليفي, ريتشارد بلومنتال
  FL, فلوريدا, 93.315, 6.685,45.2, 52.9, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, ماركو روبيو, فال ديمينجز
  GA, جورجيا, 50.005, 49.9925,49.4, 49.0, غير مؤكد, تنبؤ بالمناخ, 100.0, هيرشل جونيور ووكر, رفائيل وارنوك
  HI, هاواي, 0.455, 99.54499999999999,65.2, 30.1, حزب ديمقراطي, تنبؤ بالمناخ, 100.0, بوب مكديرموت, بريان شاتز
  IA, ايوا, 95.75, 4.25,44.9, 55.1, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, تشاك جراسلي, مايكل فرانكن
  ID, ايداهو, 99.9325, 0.0675,25.9, 67.4, الحزب الجمهوري, تنبؤ بالمناخ, 100.0, مايك كرابو, ديفيد روث
